

==========Samples: (1000, 500, 500) ===========
Pre-training layer 0, epoch 3, cost -129.329447861
Pre-training layer 0, epoch 4, cost -124.831533051
Pre-training layer 0, epoch 5, cost -121.537610504
Pre-training layer 0, epoch 5, representative training free energy -131.549039803
Pre-training layer 0, epoch 5, validation free energy -127.399597488
Pre-training layer 0, epoch 6, cost -118.812799103
Pre-training layer 0, epoch 7, cost -116.663851196
Pre-training layer 0, epoch 8, cost -114.830896423
Pre-training layer 0, epoch 9, cost -113.247355484
Pre-training layer 0, epoch 10, cost -111.812516495
Pre-training layer 0, epoch 10, representative training free energy -153.177011368
Pre-training layer 0, epoch 10, validation free energy -148.224945168
Pre-training layer 0, epoch 11, cost -110.664736176
Pre-training layer 0, epoch 12, cost -109.53297905
Pre-training layer 0, epoch 13, cost -108.492282898
Pre-training layer 0, epoch 14, cost -107.712785843
Pre-training layer 0, epoch 15, cost -106.775649475
Pre-training layer 0, epoch 15, representative training free energy -164.34473439
Pre-training layer 0, epoch 15, validation free energy -159.240088531
Pre-training layer 0, epoch 16, cost -106.078720459
Pre-training layer 0, epoch 17, cost -105.481430847
Pre-training layer 0, epoch 18, cost -104.710238022
Pre-training layer 0, epoch 19, cost -104.11766011
Pre-training layer 0, epoch 20, cost -103.528101204
Pre-training layer 0, epoch 20, representative training free energy -175.716163467
Pre-training layer 0, epoch 20, validation free energy -169.941264603
Pre-training layer 0, epoch 21, cost -103.037229485
Pre-training layer 0, epoch 22, cost -102.449702049
Pre-training layer 0, epoch 23, cost -102.05573867
Pre-training layer 0, epoch 24, cost -101.655319977
Pre-training layer 0, epoch 25, cost -101.194062233
Pre-training layer 0, epoch 25, representative training free energy -182.513040192
Pre-training layer 0, epoch 25, validation free energy -176.639849503
Pre-training layer 0, epoch 26, cost -100.736533646
Pre-training layer 0, epoch 27, cost -100.259862152
Pre-training layer 0, epoch 28, cost -100.012011108
Pre-training layer 0, epoch 29, cost -99.7089729385
Pre-training layer 0, epoch 30, cost -99.2956103516
Pre-training layer 0, epoch 30, representative training free energy -189.768995041
Pre-training layer 0, epoch 30, validation free energy -183.625789993
Pre-training layer 0, epoch 31, cost -98.9728398285
Pre-training layer 0, epoch 32, cost -98.6325808716
Pre-training layer 0, epoch 33, cost -98.4051802368
Pre-training layer 0, epoch 34, cost -98.0586040421
Pre-training layer 0, epoch 35, cost -97.8505937195
Pre-training layer 0, epoch 35, representative training free energy -198.987533157
Pre-training layer 0, epoch 35, validation free energy -192.445277298
Pre-training layer 0, epoch 36, cost -97.5412359009
Pre-training layer 0, epoch 37, cost -97.245811676
Pre-training layer 0, epoch 38, cost -96.9685783691
Pre-training layer 0, epoch 39, cost -96.7715593414
Pre-training layer 0, epoch 40, cost -96.473204155
Pre-training layer 0, epoch 40, representative training free energy -203.743321777
Pre-training layer 0, epoch 40, validation free energy -197.250432556
Pre-training layer 0, epoch 41, cost -96.2910062408
Pre-training layer 0, epoch 42, cost -96.1161742096
Pre-training layer 0, epoch 43, cost -95.8389104156
Pre-training layer 0, epoch 44, cost -95.6550666809
Pre-training layer 0, epoch 45, cost -95.467864975
Pre-training layer 0, epoch 45, representative training free energy -209.445333893
Pre-training layer 0, epoch 45, validation free energy -202.40255748
Pre-training layer 0, epoch 46, cost -95.2738814087
Pre-training layer 0, epoch 47, cost -95.115700592
Pre-training layer 0, epoch 48, cost -94.892012619
Pre-training layer 0, epoch 49, cost -94.7081252594
Pre-training layer 0, epoch 50, cost -94.6102549438
Pre-training layer 0, epoch 50, representative training free energy -214.608452652
Pre-training layer 0, epoch 50, validation free energy -207.593122513
Pre-training layer 0, epoch 51, cost -94.2813504333
Pre-training layer 0, epoch 52, cost -94.1662540131
Pre-training layer 0, epoch 53, cost -93.9747249146
Pre-training layer 0, epoch 54, cost -93.7682738037
Pre-training layer 0, epoch 55, cost -93.7520567322
Pre-training layer 0, epoch 55, representative training free energy -219.519835114
Pre-training layer 0, epoch 55, validation free energy -212.254333328
Pre-training layer 0, epoch 56, cost -93.4952791672
Pre-training layer 0, epoch 57, cost -93.2970557175
Pre-training layer 0, epoch 58, cost -93.1254982529
Pre-training layer 0, epoch 59, cost -93.1187225189
Pre-training layer 0, epoch 60, cost -92.9000595474
Pre-training layer 0, epoch 60, representative training free energy -224.217572968
Pre-training layer 0, epoch 60, validation free energy -216.727442749
Pre-training layer 0, epoch 61, cost -92.7509780197
Pre-training layer 0, epoch 62, cost -92.6310289993
Pre-training layer 0, epoch 63, cost -92.4868594208
Pre-training layer 0, epoch 64, cost -92.3596090088
Pre-training layer 0, epoch 65, cost -92.215565918
Pre-training layer 0, epoch 65, representative training free energy -227.13671698
Pre-training layer 0, epoch 65, validation free energy -219.673149277
Pre-training layer 0, epoch 66, cost -92.1225552139
Pre-training layer 0, epoch 67, cost -91.9827880554
Pre-training layer 0, epoch 68, cost -91.8344656754
Pre-training layer 0, epoch 69, cost -91.7458296814
Pre-training layer 0, epoch 70, cost -91.6137400055
Pre-training layer 0, epoch 70, representative training free energy -232.738453247
Pre-training layer 0, epoch 70, validation free energy -225.307499329
Pre-training layer 0, epoch 71, cost -91.5029936371
Pre-training layer 0, epoch 72, cost -91.3216372375
Pre-training layer 0, epoch 73, cost -91.2616268234
Pre-training layer 0, epoch 74, cost -91.1060690002
Pre-training layer 0, epoch 75, cost -91.084138916
Pre-training layer 0, epoch 75, representative training free energy -235.669696747
Pre-training layer 0, epoch 75, validation free energy -228.172465607
Pre-training layer 0, epoch 76, cost -91.007028923
Pre-training layer 0, epoch 77, cost -90.8123808136
Pre-training layer 0, epoch 78, cost -90.6808136139
Pre-training layer 0, epoch 79, cost -90.6380306396
Pre-training layer 0, epoch 80, cost -90.471105011
Pre-training layer 0, epoch 80, representative training free energy -241.231379181
Pre-training layer 0, epoch 80, validation free energy -233.436792053
Pre-training layer 0, epoch 81, cost -90.407766716
Pre-training layer 0, epoch 82, cost -90.2744201431
Pre-training layer 0, epoch 83, cost -90.2010090637
Pre-training layer 0, epoch 84, cost -90.0964250259
Pre-training layer 0, epoch 85, cost -89.9973223114
Pre-training layer 0, epoch 85, representative training free energy -243.387768829
Pre-training layer 0, epoch 85, validation free energy -235.369909821
Pre-training layer 0, epoch 86, cost -89.9742987747
Pre-training layer 0, epoch 87, cost -89.8283792801
Pre-training layer 0, epoch 88, cost -89.7981563339
Pre-training layer 0, epoch 89, cost -89.5996137772
Pre-training layer 0, epoch 90, cost -89.6200344543
Pre-training layer 0, epoch 90, representative training free energy -248.880735016
Pre-training layer 0, epoch 90, validation free energy -241.339570404
Pre-training layer 0, epoch 91, cost -89.4122537689
Pre-training layer 0, epoch 92, cost -89.4548078537
Pre-training layer 0, epoch 93, cost -89.2942725143
Pre-training layer 0, epoch 94, cost -89.2823141632
Pre-training layer 0, epoch 95, cost -89.1661329956
Pre-training layer 0, epoch 95, representative training free energy -252.462994751
Pre-training layer 0, epoch 95, validation free energy -244.471510498
Pre-training layer 0, epoch 96, cost -89.0813739777
Pre-training layer 0, epoch 97, cost -89.1140702362
Pre-training layer 0, epoch 98, cost -88.8394257584
Pre-training layer 0, epoch 99, cost -88.8690087585
Pre-training layer 1, epoch 0, cost -51.451401329
Pre-training layer 1, epoch 0, representative training free energy -4055.69381885
Pre-training layer 1, epoch 0, validation free energy -4023.90561133
Pre-training layer 1, epoch 1, cost -41.7984146729
Pre-training layer 1, epoch 2, cost -38.1129088364
Pre-training layer 1, epoch 3, cost -36.1697482872
Pre-training layer 1, epoch 4, cost -34.6917412071
Pre-training layer 1, epoch 5, cost -33.6867728157
Pre-training layer 1, epoch 5, representative training free energy -5663.21137744
Pre-training layer 1, epoch 5, validation free energy -5592.6208479
Pre-training layer 1, epoch 6, cost -33.0062971268
Pre-training layer 1, epoch 7, cost -32.2616100426
Pre-training layer 1, epoch 8, cost -31.7032981911
Pre-training layer 1, epoch 9, cost -31.211412632
Pre-training layer 1, epoch 10, cost -30.8053613396
Pre-training layer 1, epoch 10, representative training free energy -6270.4178457
Pre-training layer 1, epoch 10, validation free energy -6185.75343506
Pre-training layer 1, epoch 11, cost -30.4529634857
Pre-training layer 1, epoch 12, cost -30.036685215
Pre-training layer 1, epoch 13, cost -29.7858086357
Pre-training layer 1, epoch 14, cost -29.5211025047
Pre-training layer 1, epoch 15, cost -29.2351820145
Pre-training layer 1, epoch 15, representative training free energy -6622.48111548
Pre-training layer 1, epoch 15, validation free energy -6538.88578931
Pre-training layer 1, epoch 16, cost -28.9454057426
Pre-training layer 1, epoch 17, cost -28.7447315178
Pre-training layer 1, epoch 18, cost -28.5931016312
Pre-training layer 1, epoch 19, cost -28.3879808578
Pre-training layer 1, epoch 20, cost -28.2552599945
Pre-training layer 1, epoch 20, representative training free energy -6928.25418652
Pre-training layer 1, epoch 20, validation free energy -6840.76522949
Pre-training layer 1, epoch 21, cost -28.0431727409
Pre-training layer 1, epoch 22, cost -27.8938055763
Pre-training layer 1, epoch 23, cost -27.8221206856
Pre-training layer 1, epoch 24, cost -27.6925534019
Pre-training layer 1, epoch 25, cost -27.4777843399
Pre-training layer 1, epoch 25, representative training free energy -7142.15455078
Pre-training layer 1, epoch 25, validation free energy -7054.06036499
Pre-training layer 1, epoch 26, cost -27.440598175
Pre-training layer 1, epoch 27, cost -27.3550574303
Pre-training layer 1, epoch 28, cost -27.2158845901
Pre-training layer 1, epoch 29, cost -27.0663358879
Pre-training layer 1, epoch 30, cost -26.9706450233
Pre-training layer 1, epoch 30, representative training free energy -7370.33752515
Pre-training layer 1, epoch 30, validation free energy -7280.74471338
Pre-training layer 1, epoch 31, cost -26.9505671577
Pre-training layer 1, epoch 32, cost -26.8240410576
Pre-training layer 1, epoch 33, cost -26.7826415634
Pre-training layer 1, epoch 34, cost -26.6688948135
Pre-training layer 1, epoch 35, cost -26.6075166283
Pre-training layer 1, epoch 35, representative training free energy -7538.04386597
Pre-training layer 1, epoch 35, validation free energy -7451.24294507
Pre-training layer 1, epoch 36, cost -26.5523611603
Pre-training layer 1, epoch 37, cost -26.5190263405
Pre-training layer 1, epoch 38, cost -26.3027835236
Pre-training layer 1, epoch 39, cost -26.245689724
Pre-training layer 1, epoch 40, cost -26.2401164131
Pre-training layer 1, epoch 40, representative training free energy -7695.15376099
Pre-training layer 1, epoch 40, validation free energy -7610.91670312
Pre-training layer 1, epoch 41, cost -26.109208847
Pre-training layer 1, epoch 42, cost -26.0943162346
Pre-training layer 1, epoch 43, cost -26.0639922714
Pre-training layer 1, epoch 44, cost -26.0005643005
Pre-training layer 1, epoch 45, cost -25.8824693909
Pre-training layer 1, epoch 45, representative training free energy -7811.78306885
Pre-training layer 1, epoch 45, validation free energy -7727.9111687
Pre-training layer 1, epoch 46, cost -25.8637360115
Pre-training layer 1, epoch 47, cost -25.727583168
Pre-training layer 1, epoch 48, cost -25.7258880043
Pre-training layer 1, epoch 49, cost -25.7078151779
Pre-training layer 1, epoch 50, cost -25.6849092712
Pre-training layer 1, epoch 50, representative training free energy -7958.25773877
Pre-training layer 1, epoch 50, validation free energy -7868.82095605
Pre-training layer 1, epoch 51, cost -25.6482337227
Pre-training layer 1, epoch 52, cost -25.5877524834
Pre-training layer 1, epoch 53, cost -25.5697772331
Pre-training layer 1, epoch 54, cost -25.4482575493
Pre-training layer 1, epoch 55, cost -25.4559545097
Pre-training layer 1, epoch 55, representative training free energy -8084.15886035
Pre-training layer 1, epoch 55, validation free energy -7995.55856201
Pre-training layer 1, epoch 56, cost -25.4152152176
Pre-training layer 1, epoch 57, cost -25.3719931679
Pre-training layer 1, epoch 58, cost -25.274494442
Pre-training layer 1, epoch 59, cost -25.3074517975
Pre-training layer 1, epoch 60, cost -25.2562732277
Pre-training layer 1, epoch 60, representative training free energy -8189.89793604
Pre-training layer 1, epoch 60, validation free energy -8103.16314453
Pre-training layer 1, epoch 61, cost -25.1849903793
Pre-training layer 1, epoch 62, cost -25.1447242317
Pre-training layer 1, epoch 63, cost -25.1034710426
Pre-training layer 1, epoch 64, cost -25.053534565
Pre-training layer 1, epoch 65, cost -25.0284288292
Pre-training layer 1, epoch 65, representative training free energy -8301.79403564
Pre-training layer 1, epoch 65, validation free energy -8213.14676172
Pre-training layer 1, epoch 66, cost -24.9992485695
Pre-training layer 1, epoch 67, cost -24.9526388969
Pre-training layer 1, epoch 68, cost -24.9519623604
Pre-training layer 1, epoch 69, cost -24.9322661591
Pre-training layer 1, epoch 70, cost -24.883420002
Pre-training layer 1, epoch 70, representative training free energy -8410.2369624
Pre-training layer 1, epoch 70, validation free energy -8320.62340088
Pre-training layer 1, epoch 71, cost -24.8461916466
Pre-training layer 1, epoch 72, cost -24.7604604378
Pre-training layer 1, epoch 73, cost -24.771290554
Pre-training layer 1, epoch 74, cost -24.7609091377
Pre-training layer 1, epoch 75, cost -24.7617177925
Pre-training layer 1, epoch 75, representative training free energy -8491.07597119
Pre-training layer 1, epoch 75, validation free energy -8399.21879541
Pre-training layer 1, epoch 76, cost -24.7286742516
Pre-training layer 1, epoch 77, cost -24.6907872467
Pre-training layer 1, epoch 78, cost -24.6177263145
Pre-training layer 1, epoch 79, cost -24.6137960663
Pre-training layer 1, epoch 80, cost -24.6895348778
Pre-training layer 1, epoch 80, representative training free energy -8570.91630371
Pre-training layer 1, epoch 80, validation free energy -8477.97160889
Pre-training layer 1, epoch 81, cost -24.6487279282
Pre-training layer 1, epoch 82, cost -24.5908041306
Pre-training layer 1, epoch 83, cost -24.5229909554
Pre-training layer 1, epoch 84, cost -24.4810491867
Pre-training layer 1, epoch 85, cost -24.5229129105
Pre-training layer 1, epoch 85, representative training free energy -8658.81468555
Pre-training layer 1, epoch 85, validation free energy -8563.84238135
Pre-training layer 1, epoch 86, cost -24.5193538589
Pre-training layer 1, epoch 87, cost -24.4236489143
Pre-training layer 1, epoch 88, cost -24.436962616
Pre-training layer 1, epoch 89, cost -24.3524759483
Pre-training layer 1, epoch 90, cost -24.3324493637
Pre-training layer 1, epoch 90, representative training free energy -8733.5828291
Pre-training layer 1, epoch 90, validation free energy -8638.45832959
Pre-training layer 1, epoch 91, cost -24.41972789
Pre-training layer 1, epoch 92, cost -24.3322750053
Pre-training layer 1, epoch 93, cost -24.3494782677
Pre-training layer 1, epoch 94, cost -24.2543125725
Pre-training layer 1, epoch 95, cost -24.2988896065
Pre-training layer 1, epoch 95, representative training free energy -8803.1179292
Pre-training layer 1, epoch 95, validation free energy -8707.36829395
Pre-training layer 1, epoch 96, cost -24.1975952377
Pre-training layer 1, epoch 97, cost -24.228794323
Pre-training layer 1, epoch 98, cost -24.2021483345
Pre-training layer 1, epoch 99, cost -24.1419438858
Pre-training layer 2, epoch 0, cost -41.8646838074
Pre-training layer 2, epoch 0, representative training free energy -12953.8037803
Pre-training layer 2, epoch 0, validation free energy -12973.2873848
Pre-training layer 2, epoch 1, cost -33.5319663773
Pre-training layer 2, epoch 2, cost -30.4270315285
Pre-training layer 2, epoch 3, cost -28.8144381104
Pre-training layer 2, epoch 4, cost -27.6936339264
Pre-training layer 2, epoch 5, cost -27.0174030266
Pre-training layer 2, epoch 5, representative training free energy -16635.7359863
Pre-training layer 2, epoch 5, validation free energy -16248.3786885
Pre-training layer 2, epoch 6, cost -26.3620433903
Pre-training layer 2, epoch 7, cost -25.9878530235
Pre-training layer 2, epoch 8, cost -25.5540752144
Pre-training layer 2, epoch 9, cost -25.3084206314
Pre-training layer 2, epoch 10, cost -25.0433896008
Pre-training layer 2, epoch 10, representative training free energy -17381.5129805
Pre-training layer 2, epoch 10, validation free energy -16897.2808408
Pre-training layer 2, epoch 11, cost -24.7837159462
Pre-training layer 2, epoch 12, cost -24.6099804077
Pre-training layer 2, epoch 13, cost -24.4053318443
Pre-training layer 2, epoch 14, cost -24.2693104935
Pre-training layer 2, epoch 15, cost -24.1439004917
Pre-training layer 2, epoch 15, representative training free energy -17758.8532041
Pre-training layer 2, epoch 15, validation free energy -17221.6146797
Pre-training layer 2, epoch 16, cost -23.9824505672
Pre-training layer 2, epoch 17, cost -23.850904932
Pre-training layer 2, epoch 18, cost -23.7666613178
Pre-training layer 2, epoch 19, cost -23.6961210155
Pre-training layer 2, epoch 20, cost -23.559348978
Pre-training layer 2, epoch 20, representative training free energy -18075.0352354
Pre-training layer 2, epoch 20, validation free energy -17493.0051807
Pre-training layer 2, epoch 21, cost -23.4838450851
Pre-training layer 2, epoch 22, cost -23.4053410702
Pre-training layer 2, epoch 23, cost -23.3201799927
Pre-training layer 2, epoch 24, cost -23.2515843124
Pre-training layer 2, epoch 25, cost -23.1735595303
Pre-training layer 2, epoch 25, representative training free energy -18432.8626484
Pre-training layer 2, epoch 25, validation free energy -17830.09121
Pre-training layer 2, epoch 26, cost -23.1089388504
Pre-training layer 2, epoch 27, cost -23.0654272842
Pre-training layer 2, epoch 28, cost -22.9805171356
Pre-training layer 2, epoch 29, cost -22.940189724
Pre-training layer 2, epoch 30, cost -22.9081794071
Pre-training layer 2, epoch 30, representative training free energy -18539.0201592
Pre-training layer 2, epoch 30, validation free energy -17940.5408203
Pre-training layer 2, epoch 31, cost -22.857182724
Pre-training layer 2, epoch 32, cost -22.7562172699
Pre-training layer 2, epoch 33, cost -22.7228045235
Pre-training layer 2, epoch 34, cost -22.7152685585
Pre-training layer 2, epoch 35, cost -22.755575222
Pre-training layer 2, epoch 35, representative training free energy -18704.4865049
Pre-training layer 2, epoch 35, validation free energy -18091.7109033
Pre-training layer 2, epoch 36, cost -22.6353776093
Pre-training layer 2, epoch 37, cost -22.5948237705
Pre-training layer 2, epoch 38, cost -22.5721041946
Pre-training layer 2, epoch 39, cost -22.5289579258
Pre-training layer 2, epoch 40, cost -22.4844946899
Pre-training layer 2, epoch 40, representative training free energy -18952.3393086
Pre-training layer 2, epoch 40, validation free energy -18352.083085
Pre-training layer 2, epoch 41, cost -22.4781486359
Pre-training layer 2, epoch 42, cost -22.4620377102
Pre-training layer 2, epoch 43, cost -22.4531489201
Pre-training layer 2, epoch 44, cost -22.3897171764
Pre-training layer 2, epoch 45, cost -22.3549972801
Pre-training layer 2, epoch 45, representative training free energy -19231.5053242
Pre-training layer 2, epoch 45, validation free energy -18610.7137334
Pre-training layer 2, epoch 46, cost -22.3908328228
Pre-training layer 2, epoch 47, cost -22.3216834221
Pre-training layer 2, epoch 48, cost -22.2923178997
Pre-training layer 2, epoch 49, cost -22.292727951
Pre-training layer 2, epoch 50, cost -22.2741168842
Pre-training layer 2, epoch 50, representative training free energy -19183.3413721
Pre-training layer 2, epoch 50, validation free energy -18610.4545488
Pre-training layer 2, epoch 51, cost -22.2406584473
Pre-training layer 2, epoch 52, cost -22.1563821526
Pre-training layer 2, epoch 53, cost -22.1974773502
Pre-training layer 2, epoch 54, cost -22.16577318
Pre-training layer 2, epoch 55, cost -22.1674487343
Pre-training layer 2, epoch 55, representative training free energy -19384.8540527
Pre-training layer 2, epoch 55, validation free energy -18817.5578291
Pre-training layer 2, epoch 56, cost -22.142284132
Pre-training layer 2, epoch 57, cost -22.1515965595
Pre-training layer 2, epoch 58, cost -22.1584601955
Pre-training layer 2, epoch 59, cost -22.0409445362
Pre-training layer 2, epoch 60, cost -22.0843484211
Pre-training layer 2, epoch 60, representative training free energy -19449.7339453
Pre-training layer 2, epoch 60, validation free energy -18874.8020938
Pre-training layer 2, epoch 61, cost -22.1112511997
Pre-training layer 2, epoch 62, cost -22.0376311626
Pre-training layer 2, epoch 63, cost -22.0206691227
Pre-training layer 2, epoch 64, cost -22.0398460636
Pre-training layer 2, epoch 65, cost -22.0007483749
Pre-training layer 2, epoch 65, representative training free energy -19329.0728379
Pre-training layer 2, epoch 65, validation free energy -18694.8665361
Pre-training layer 2, epoch 66, cost -21.9949509945
Pre-training layer 2, epoch 67, cost -21.990838295
Pre-training layer 2, epoch 68, cost -21.9407235584
Pre-training layer 2, epoch 69, cost -21.9377859325
Pre-training layer 2, epoch 70, cost -21.9671644516
Pre-training layer 2, epoch 70, representative training free energy -19491.6134717
Pre-training layer 2, epoch 70, validation free energy -18903.8206953
Pre-training layer 2, epoch 71, cost -21.8932412758
Pre-training layer 2, epoch 72, cost -21.9159621296
Pre-training layer 2, epoch 73, cost -21.8943003483
Pre-training layer 2, epoch 74, cost -21.8767020855
Pre-training layer 2, epoch 75, cost -21.8935683994
Pre-training layer 2, epoch 75, representative training free energy -19631.8808945
Pre-training layer 2, epoch 75, validation free energy -19048.5990596
Pre-training layer 2, epoch 76, cost -21.8837296638
Pre-training layer 2, epoch 77, cost -21.8718984661
Pre-training layer 2, epoch 78, cost -21.8646655827
Pre-training layer 2, epoch 79, cost -21.8700633392
Pre-training layer 2, epoch 80, cost -21.8081727409
Pre-training layer 2, epoch 80, representative training free energy -19752.7063525
Pre-training layer 2, epoch 80, validation free energy -19138.7256484
Pre-training layer 2, epoch 81, cost -21.8481934109
Pre-training layer 2, epoch 82, cost -21.8270114422
Pre-training layer 2, epoch 83, cost -21.7838432083
Pre-training layer 2, epoch 84, cost -21.7885064468
Pre-training layer 2, epoch 85, cost -21.7775133209
Pre-training layer 2, epoch 85, representative training free energy -19785.8706953
Pre-training layer 2, epoch 85, validation free energy -19196.4080137
Pre-training layer 2, epoch 86, cost -21.7839037132
Pre-training layer 2, epoch 87, cost -21.7968783188
Pre-training layer 2, epoch 88, cost -21.7424173241
Pre-training layer 2, epoch 89, cost -21.7046951885
Pre-training layer 2, epoch 90, cost -21.7486271095
Pre-training layer 2, epoch 90, representative training free energy -20028.8252832
Pre-training layer 2, epoch 90, validation free energy -19418.6978848
Pre-training layer 2, epoch 91, cost -21.7373572369
Pre-training layer 2, epoch 92, cost -21.7128455963
Pre-training layer 2, epoch 93, cost -21.6743542519
Pre-training layer 2, epoch 94, cost -21.6533248577
Pre-training layer 2, epoch 95, cost -21.711455368
Pre-training layer 2, epoch 95, representative training free energy -19811.967542
Pre-training layer 2, epoch 95, validation free energy -19203.7374326
Pre-training layer 2, epoch 96, cost -21.6273241959
Pre-training layer 2, epoch 97, cost -21.6922679596
Pre-training layer 2, epoch 98, cost -21.6910099983
Pre-training layer 2, epoch 99, cost -21.6640934391
The pretraining code for file dbn_loop.pyc ran for 1.27m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 500/500, validation error 13.600000 %
     epoch 1, minibatch 500/500, test error of best model 11.800000 %
epoch 2, minibatch 500/500, validation error 12.200000 %
     epoch 2, minibatch 500/500, test error of best model 10.200000 %
epoch 3, minibatch 500/500, validation error 11.000000 %
     epoch 3, minibatch 500/500, test error of best model 9.800000 %
epoch 4, minibatch 500/500, validation error 10.800000 %
     epoch 4, minibatch 500/500, test error of best model 9.000000 %
epoch 5, minibatch 500/500, validation error 10.600000 %
     epoch 5, minibatch 500/500, test error of best model 8.600000 %
epoch 6, minibatch 500/500, validation error 10.000000 %
     epoch 6, minibatch 500/500, test error of best model 8.400000 %
epoch 7, minibatch 500/500, validation error 10.000000 %
epoch 8, minibatch 500/500, validation error 10.000000 %
epoch 9, minibatch 500/500, validation error 9.600000 %
     epoch 9, minibatch 500/500, test error of best model 7.800000 %
epoch 10, minibatch 500/500, validation error 9.600000 %
epoch 11, minibatch 500/500, validation error 9.200000 %
     epoch 11, minibatch 500/500, test error of best model 7.600000 %
epoch 12, minibatch 500/500, validation error 8.800000 %
     epoch 12, minibatch 500/500, test error of best model 7.600000 %
epoch 13, minibatch 500/500, validation error 8.800000 %
epoch 14, minibatch 500/500, validation error 8.800000 %
epoch 15, minibatch 500/500, validation error 9.000000 %
epoch 16, minibatch 500/500, validation error 8.800000 %
epoch 17, minibatch 500/500, validation error 8.400000 %
     epoch 17, minibatch 500/500, test error of best model 7.000000 %
epoch 18, minibatch 500/500, validation error 8.400000 %
epoch 19, minibatch 500/500, validation error 8.400000 %
epoch 20, minibatch 500/500, validation error 8.400000 %
epoch 21, minibatch 500/500, validation error 8.400000 %
     epoch 21, minibatch 500/500, test error of best model 6.600000 %
epoch 22, minibatch 500/500, validation error 8.600000 %
epoch 23, minibatch 500/500, validation error 8.800000 %
epoch 24, minibatch 500/500, validation error 8.800000 %
epoch 25, minibatch 500/500, validation error 8.600000 %
epoch 26, minibatch 500/500, validation error 8.200000 %
     epoch 26, minibatch 500/500, test error of best model 6.600000 %
epoch 27, minibatch 500/500, validation error 8.200000 %
epoch 28, minibatch 500/500, validation error 8.200000 %
epoch 29, minibatch 500/500, validation error 8.200000 %
epoch 30, minibatch 500/500, validation error 8.200000 %
epoch 31, minibatch 500/500, validation error 8.200000 %
epoch 32, minibatch 500/500, validation error 8.400000 %
epoch 33, minibatch 500/500, validation error 8.600000 %
epoch 34, minibatch 500/500, validation error 8.600000 %
epoch 35, minibatch 500/500, validation error 8.200000 %
epoch 36, minibatch 500/500, validation error 8.200000 %
epoch 37, minibatch 500/500, validation error 8.600000 %
epoch 38, minibatch 500/500, validation error 8.600000 %
epoch 39, minibatch 500/500, validation error 8.600000 %
epoch 40, minibatch 500/500, validation error 8.600000 %
epoch 41, minibatch 500/500, validation error 8.600000 %
epoch 42, minibatch 500/500, validation error 8.600000 %
epoch 43, minibatch 500/500, validation error 8.800000 %
epoch 44, minibatch 500/500, validation error 8.800000 %
epoch 45, minibatch 500/500, validation error 8.800000 %
epoch 46, minibatch 500/500, validation error 8.600000 %
epoch 47, minibatch 500/500, validation error 8.200000 %
epoch 48, minibatch 500/500, validation error 8.200000 %
epoch 49, minibatch 500/500, validation error 8.200000 %
epoch 50, minibatch 500/500, validation error 8.200000 %
epoch 51, minibatch 500/500, validation error 8.200000 %
Optimization complete with best validation score of 8.200000 %, obtained at iteration 13000, with test performance 6.600000 %
The fine tuning code for file dbn_loop.pyc ran for 0.14m


==========Samples: (10000, 500, 500) ===========

... building the model
... getting the pretraining functions
... pre-training the model
Pre-training layer 0, epoch 0, cost -178.72407328
Pre-training layer 0, epoch 0, representative training free energy -99.1194412689
Pre-training layer 0, epoch 0, validation free energy -97.0861728668
Pre-training layer 0, epoch 1, cost -133.429170525
Pre-training layer 0, epoch 2, cost -124.054660759
Pre-training layer 0, epoch 3, cost -118.751947281
Pre-training layer 0, epoch 4, cost -115.129617699
Pre-training layer 0, epoch 5, cost -112.425109283
Pre-training layer 0, epoch 5, representative training free energy -148.461293976
Pre-training layer 0, epoch 5, validation free energy -144.400225227
Pre-training layer 0, epoch 6, cost -110.241679543
Pre-training layer 0, epoch 7, cost -108.547444359
Pre-training layer 0, epoch 8, cost -106.97119297
Pre-training layer 0, epoch 9, cost -105.702762657
Pre-training layer 0, epoch 10, cost -104.622650696
Pre-training layer 0, epoch 10, representative training free energy -171.875743011
Pre-training layer 0, epoch 10, validation free energy -167.546120071
Pre-training layer 0, epoch 11, cost -103.555386925
Pre-training layer 0, epoch 12, cost -102.723843803
Pre-training layer 0, epoch 13, cost -101.979969501
Pre-training layer 0, epoch 14, cost -101.155840088
Pre-training layer 0, epoch 15, cost -100.536097149
Pre-training layer 0, epoch 15, representative training free energy -186.472207092
Pre-training layer 0, epoch 15, validation free energy -181.646091614
Pre-training layer 0, epoch 16, cost -99.8938253403
Pre-training layer 0, epoch 17, cost -99.2775171738
Pre-training layer 0, epoch 18, cost -98.7015784264
Pre-training layer 0, epoch 19, cost -98.2142695808
Pre-training layer 0, epoch 20, cost -97.7998276672
Pre-training layer 0, epoch 20, representative training free energy -198.171435608
Pre-training layer 0, epoch 20, validation free energy -192.972384323
Pre-training layer 0, epoch 21, cost -97.3319356689
Pre-training layer 0, epoch 22, cost -96.8560224152
Pre-training layer 0, epoch 23, cost -96.4760417976
Pre-training layer 0, epoch 24, cost -96.0498824768
Pre-training layer 0, epoch 25, cost -95.6967514954
Pre-training layer 0, epoch 25, representative training free energy -209.518099396
Pre-training layer 0, epoch 25, validation free energy -204.334112534
Pre-training layer 0, epoch 26, cost -95.3187252846
