_______RUN: 0

==========Hidden Layer: [500, 500, 2000] ===========
Pre-training layer 1, epoch 19, cost -134.08058403
Pre-training layer 1, epoch 20, cost -133.643055153
Pre-training layer 1, epoch 20, representative training free energy -35540.014583
Pre-training layer 1, epoch 20, validation free energy -35163.4823965
Pre-training layer 1, epoch 21, cost -133.181433678
Pre-training layer 1, epoch 22, cost -132.728019123
Pre-training layer 1, epoch 23, cost -132.354734802
Pre-training layer 1, epoch 24, cost -132.023816662
Pre-training layer 1, epoch 25, cost -131.618879261
Pre-training layer 1, epoch 25, representative training free energy -36672.0354658
Pre-training layer 1, epoch 25, validation free energy -36270.9225439
Pre-training layer 1, epoch 26, cost -131.383881645
Pre-training layer 1, epoch 27, cost -131.102586346
Pre-training layer 1, epoch 28, cost -130.759590912
Pre-training layer 1, epoch 29, cost -130.538826256
Pre-training layer 1, epoch 30, cost -130.29774416
Pre-training layer 1, epoch 30, representative training free energy -37595.4835352
Pre-training layer 1, epoch 30, validation free energy -37178.2100186
Pre-training layer 1, epoch 31, cost -130.047304554
Pre-training layer 1, epoch 32, cost -129.758259563
Pre-training layer 1, epoch 33, cost -129.640802116
Pre-training layer 1, epoch 34, cost -129.432204266
Pre-training layer 1, epoch 35, cost -129.157764263
Pre-training layer 1, epoch 35, representative training free energy -38314.4111953
Pre-training layer 1, epoch 35, validation free energy -37890.694875
Pre-training layer 1, epoch 36, cost -128.911615791
Pre-training layer 1, epoch 37, cost -128.789708748
Pre-training layer 1, epoch 38, cost -128.599380531
Pre-training layer 1, epoch 39, cost -128.43437458
Pre-training layer 1, epoch 40, cost -128.220212975
Pre-training layer 1, epoch 40, representative training free energy -39048.3584609
Pre-training layer 1, epoch 40, validation free energy -38610.8609551
Pre-training layer 1, epoch 41, cost -128.10266201
Pre-training layer 1, epoch 42, cost -127.98720808
Pre-training layer 1, epoch 43, cost -127.868979607
Pre-training layer 1, epoch 44, cost -127.69678196
Pre-training layer 1, epoch 45, cost -127.481173191
Pre-training layer 1, epoch 45, representative training free energy -39643.4693027
Pre-training layer 1, epoch 45, validation free energy -39188.7266865
Pre-training layer 1, epoch 46, cost -127.321890221
Pre-training layer 1, epoch 47, cost -127.199553261
Pre-training layer 1, epoch 48, cost -127.061811161
Pre-training layer 1, epoch 49, cost -126.949301281
Pre-training layer 1, epoch 50, cost -126.991671658
Pre-training layer 1, epoch 50, representative training free energy -40176.9690068
Pre-training layer 1, epoch 50, validation free energy -39708.4274736
Pre-training layer 1, epoch 51, cost -126.807543621
Pre-training layer 1, epoch 52, cost -126.696899433
Pre-training layer 1, epoch 53, cost -126.562479095
Pre-training layer 1, epoch 54, cost -126.518577442
Pre-training layer 1, epoch 55, cost -126.212893906
Pre-training layer 1, epoch 55, representative training free energy -40718.5283643
Pre-training layer 1, epoch 55, validation free energy -40242.143584
Pre-training layer 1, epoch 56, cost -126.258275566
Pre-training layer 1, epoch 57, cost -126.027279224
Pre-training layer 1, epoch 58, cost -126.067743721
Pre-training layer 1, epoch 59, cost -125.887230473
Pre-training layer 1, epoch 60, cost -125.78318264
Pre-training layer 1, epoch 60, representative training free energy -41141.9955322
Pre-training layer 1, epoch 60, validation free energy -40657.2497725
Pre-training layer 1, epoch 61, cost -125.880628109
Pre-training layer 1, epoch 62, cost -125.701889133
Pre-training layer 1, epoch 63, cost -125.497935047
Pre-training layer 1, epoch 64, cost -125.442516956
Pre-training layer 1, epoch 65, cost -125.405129871
Pre-training layer 1, epoch 65, representative training free energy -41655.1646064
Pre-training layer 1, epoch 65, validation free energy -41161.4497666
Pre-training layer 1, epoch 66, cost -125.228227234
Pre-training layer 1, epoch 67, cost -125.201697845
Pre-training layer 1, epoch 68, cost -125.142300053
Pre-training layer 1, epoch 69, cost -125.140902691
Pre-training layer 1, epoch 70, cost -125.005468216
Pre-training layer 1, epoch 70, representative training free energy -42037.299207
Pre-training layer 1, epoch 70, validation free energy -41535.8093682
Pre-training layer 1, epoch 71, cost -124.936300468
Pre-training layer 1, epoch 72, cost -124.807761707
Pre-training layer 1, epoch 73, cost -124.838684387
Pre-training layer 1, epoch 74, cost -124.599608154
Pre-training layer 1, epoch 75, cost -124.564890041
Pre-training layer 1, epoch 75, representative training free energy -42404.16779
Pre-training layer 1, epoch 75, validation free energy -41891.9846309
Pre-training layer 1, epoch 76, cost -124.547085629
Pre-training layer 1, epoch 77, cost -124.463585167
Pre-training layer 1, epoch 78, cost -124.465420856
Pre-training layer 1, epoch 79, cost -124.398509197
Pre-training layer 1, epoch 80, cost -124.327196903
Pre-training layer 1, epoch 80, representative training free energy -42733.0866787
Pre-training layer 1, epoch 80, validation free energy -42219.1046396
Pre-training layer 1, epoch 81, cost -124.320578461
Pre-training layer 1, epoch 82, cost -124.27539772
Pre-training layer 1, epoch 83, cost -124.115274887
Pre-training layer 1, epoch 84, cost -124.11637846
Pre-training layer 1, epoch 85, cost -124.076890335
Pre-training layer 1, epoch 85, representative training free energy -43095.794877
Pre-training layer 1, epoch 85, validation free energy -42570.6851758
Pre-training layer 1, epoch 86, cost -123.928826408
Pre-training layer 1, epoch 87, cost -123.868177605
Pre-training layer 1, epoch 88, cost -123.899361458
Pre-training layer 1, epoch 89, cost -123.862273293
Pre-training layer 1, epoch 90, cost -123.826207314
Pre-training layer 1, epoch 90, representative training free energy -43435.6073223
Pre-training layer 1, epoch 90, validation free energy -42907.0440615
Pre-training layer 1, epoch 91, cost -123.697217979
Pre-training layer 1, epoch 92, cost -123.62462122
Pre-training layer 1, epoch 93, cost -123.558728962
Pre-training layer 1, epoch 94, cost -123.503776684
Pre-training layer 1, epoch 95, cost -123.518111725
Pre-training layer 1, epoch 95, representative training free energy -43644.0801377
Pre-training layer 1, epoch 95, validation free energy -43101.9685215
Pre-training layer 1, epoch 96, cost -123.438974285
Pre-training layer 1, epoch 97, cost -123.439756413
Pre-training layer 1, epoch 98, cost -123.322188301
Pre-training layer 1, epoch 99, cost -123.244637051
Pre-training layer 2, epoch 0, cost -83.1095039749
Pre-training layer 2, epoch 0, representative training free energy -40927.7823506
Pre-training layer 2, epoch 0, validation free energy -39801.2141143
Pre-training layer 2, epoch 1, cost -68.1295653152
Pre-training layer 2, epoch 2, cost -63.8315888786
Pre-training layer 2, epoch 3, cost -61.5796350765
Pre-training layer 2, epoch 4, cost -59.7665710163
Pre-training layer 2, epoch 5, cost -58.3334863091
Pre-training layer 2, epoch 5, representative training free energy -32727.9997822
Pre-training layer 2, epoch 5, validation free energy -32326.541791
Pre-training layer 2, epoch 6, cost -57.2701067162
Pre-training layer 2, epoch 7, cost -56.3446782494
Pre-training layer 2, epoch 8, cost -55.6163506222
Pre-training layer 2, epoch 9, cost -54.9748688412
Pre-training layer 2, epoch 10, cost -54.3131693745
Pre-training layer 2, epoch 10, representative training free energy -26123.6281812
Pre-training layer 2, epoch 10, validation free energy -25878.8906885
Pre-training layer 2, epoch 11, cost -53.8382739353
Pre-training layer 2, epoch 12, cost -53.300036726
Pre-training layer 2, epoch 13, cost -53.0284815884
Pre-training layer 2, epoch 14, cost -52.6150191021
Pre-training layer 2, epoch 15, cost -52.2510760784
Pre-training layer 2, epoch 15, representative training free energy -22741.6976426
Pre-training layer 2, epoch 15, validation free energy -22683.783188
Pre-training layer 2, epoch 16, cost -52.1409323978
Pre-training layer 2, epoch 17, cost -51.6878925133
Pre-training layer 2, epoch 18, cost -51.4474727345
Pre-training layer 2, epoch 19, cost -51.2208943653
Pre-training layer 2, epoch 20, cost -51.0291816616
Pre-training layer 2, epoch 20, representative training free energy -19158.5569878
Pre-training layer 2, epoch 20, validation free energy -19104.6971387
Pre-training layer 2, epoch 21, cost -50.7759936428
Pre-training layer 2, epoch 22, cost -50.6024893761
Pre-training layer 2, epoch 23, cost -50.4458345032
Pre-training layer 2, epoch 24, cost -50.3377638721
Pre-training layer 2, epoch 25, cost -50.1424360371
Pre-training layer 2, epoch 25, representative training free energy -17596.3200676
Pre-training layer 2, epoch 25, validation free energy -17590.5480366
Pre-training layer 2, epoch 26, cost -50.0257596016
Pre-training layer 2, epoch 27, cost -49.7612766171
Pre-training layer 2, epoch 28, cost -49.7930748367
Pre-training layer 2, epoch 29, cost -49.6439292908
Pre-training layer 2, epoch 30, cost -49.4866091442
Pre-training layer 2, epoch 30, representative training free energy -15102.7137676
Pre-training layer 2, epoch 30, validation free energy -15220.1471421
Pre-training layer 2, epoch 31, cost -49.4055989981
Pre-training layer 2, epoch 32, cost -49.1918219566
Pre-training layer 2, epoch 33, cost -49.2025738049
Pre-training layer 2, epoch 34, cost -49.0231851578
Pre-training layer 2, epoch 35, cost -49.0137837982
Pre-training layer 2, epoch 35, representative training free energy -14023.138186
Pre-training layer 2, epoch 35, validation free energy -14054.9134126
Pre-training layer 2, epoch 36, cost -48.872064085
Pre-training layer 2, epoch 37, cost -48.8043384457
Pre-training layer 2, epoch 38, cost -48.7233241463
Pre-training layer 2, epoch 39, cost -48.6967309427
Pre-training layer 2, epoch 40, cost -48.6022071743
Pre-training layer 2, epoch 40, representative training free energy -12225.4279551
Pre-training layer 2, epoch 40, validation free energy -12346.7570669
Pre-training layer 2, epoch 41, cost -48.406681385
Pre-training layer 2, epoch 42, cost -48.5783989048
Pre-training layer 2, epoch 43, cost -48.4067566204
Pre-training layer 2, epoch 44, cost -48.3639367867
Pre-training layer 2, epoch 45, cost -48.233815527
Pre-training layer 2, epoch 45, representative training free energy -11471.7009172
Pre-training layer 2, epoch 45, validation free energy -11603.6368687
Pre-training layer 2, epoch 46, cost -48.1847302628
Pre-training layer 2, epoch 47, cost -48.0641174793
Pre-training layer 2, epoch 48, cost -48.1132934284
Pre-training layer 2, epoch 49, cost -48.100824194
Pre-training layer 2, epoch 50, cost -47.8904417324
Pre-training layer 2, epoch 50, representative training free energy -11060.2440085
Pre-training layer 2, epoch 50, validation free energy -11137.0915449
Pre-training layer 2, epoch 51, cost -48.0394358635
Pre-training layer 2, epoch 52, cost -48.0312897444
Pre-training layer 2, epoch 53, cost -47.9241091537
Pre-training layer 2, epoch 54, cost -47.7386690903
Pre-training layer 2, epoch 55, cost -47.7553824282
Pre-training layer 2, epoch 55, representative training free energy -9758.36151904
Pre-training layer 2, epoch 55, validation free energy -9904.60350488
Pre-training layer 2, epoch 56, cost -47.6275620747
Pre-training layer 2, epoch 57, cost -47.604086628
Pre-training layer 2, epoch 58, cost -47.6182468319
Pre-training layer 2, epoch 59, cost -47.5871075058
Pre-training layer 2, epoch 60, cost -47.5426238298
Pre-training layer 2, epoch 60, representative training free energy -8989.76528027
Pre-training layer 2, epoch 60, validation free energy -9150.57138477
Pre-training layer 2, epoch 61, cost -47.5472329044
Pre-training layer 2, epoch 62, cost -47.4524827909
Pre-training layer 2, epoch 63, cost -47.3822858667
Pre-training layer 2, epoch 64, cost -47.3408093548
Pre-training layer 2, epoch 65, cost -47.3136303806
Pre-training layer 2, epoch 65, representative training free energy -8204.44453174
Pre-training layer 2, epoch 65, validation free energy -8369.51729297
Pre-training layer 2, epoch 66, cost -47.2163472557
Pre-training layer 2, epoch 67, cost -47.2662614822
Pre-training layer 2, epoch 68, cost -47.2232564402
Pre-training layer 2, epoch 69, cost -47.2058398104
Pre-training layer 2, epoch 70, cost -47.1044928598
Pre-training layer 2, epoch 70, representative training free energy -7733.33204529
Pre-training layer 2, epoch 70, validation free energy -7863.7542074
Pre-training layer 2, epoch 71, cost -47.0964141893
Pre-training layer 2, epoch 72, cost -47.0052523232
Pre-training layer 2, epoch 73, cost -47.0798396015
Pre-training layer 2, epoch 74, cost -46.9732290173
Pre-training layer 2, epoch 75, cost -46.9832728863
Pre-training layer 2, epoch 75, representative training free energy -7411.36229956
Pre-training layer 2, epoch 75, validation free energy -7456.07574939
Pre-training layer 2, epoch 76, cost -46.9313925028
Pre-training layer 2, epoch 77, cost -46.9082738924
Pre-training layer 2, epoch 78, cost -46.9216970253
Pre-training layer 2, epoch 79, cost -46.8526570654
Pre-training layer 2, epoch 80, cost -46.8926484871
Pre-training layer 2, epoch 80, representative training free energy -6941.45900647
Pre-training layer 2, epoch 80, validation free energy -6959.71827686
Pre-training layer 2, epoch 81, cost -46.8315837145
Pre-training layer 2, epoch 82, cost -46.8539894676
Pre-training layer 2, epoch 83, cost -46.7273420286
Pre-training layer 2, epoch 84, cost -46.7372772598
Pre-training layer 2, epoch 85, cost -46.7030586863
Pre-training layer 2, epoch 85, representative training free energy -6130.6180564
Pre-training layer 2, epoch 85, validation free energy -6078.78864612
Pre-training layer 2, epoch 86, cost -46.6609368753
Pre-training layer 2, epoch 87, cost -46.658462429
Pre-training layer 2, epoch 88, cost -46.6759017467
Pre-training layer 2, epoch 89, cost -46.6416679573
Pre-training layer 2, epoch 90, cost -46.6385197735
Pre-training layer 2, epoch 90, representative training free energy -5699.58176563
Pre-training layer 2, epoch 90, validation free energy -5615.95051733
Pre-training layer 2, epoch 91, cost -46.654399209
Pre-training layer 2, epoch 92, cost -46.5872186708
Pre-training layer 2, epoch 93, cost -46.57747612
Pre-training layer 2, epoch 94, cost -46.5403464174
Pre-training layer 2, epoch 95, cost -46.5029234409
Pre-training layer 2, epoch 95, representative training free energy -5524.41041992
Pre-training layer 2, epoch 95, validation free energy -5472.09287476
Pre-training layer 2, epoch 96, cost -46.5152414465
Pre-training layer 2, epoch 97, cost -46.4686362648
Pre-training layer 2, epoch 98, cost -46.4631191778
Pre-training layer 2, epoch 99, cost -46.4796242285
The pretraining code for file dbn_loop.pyc ran for 2.37m... getting the finetuning functions... finetuning the model
epoch 1, minibatch 400/400, validation error 9.600000 %
     epoch 1, minibatch 400/400, test error of best model 9.600000 %
epoch 2, minibatch 400/400, validation error 8.100000 %
     epoch 2, minibatch 400/400, test error of best model 7.800000 %
epoch 3, minibatch 400/400, validation error 7.300000 %
     epoch 3, minibatch 400/400, test error of best model 7.400000 %
epoch 4, minibatch 400/400, validation error 7.300000 %
     epoch 4, minibatch 400/400, test error of best model 7.000000 %
epoch 5, minibatch 400/400, validation error 7.100000 %
     epoch 5, minibatch 400/400, test error of best model 6.700000 %
epoch 6, minibatch 400/400, validation error 7.000000 %
     epoch 6, minibatch 400/400, test error of best model 6.300000 %
epoch 7, minibatch 400/400, validation error 6.900000 %
     epoch 7, minibatch 400/400, test error of best model 6.200000 %
epoch 8, minibatch 400/400, validation error 6.900000 %
epoch 9, minibatch 400/400, validation error 6.500000 %
     epoch 9, minibatch 400/400, test error of best model 6.200000 %
epoch 10, minibatch 400/400, validation error 6.600000 %
epoch 11, minibatch 400/400, validation error 6.500000 %
epoch 12, minibatch 400/400, validation error 6.400000 %
     epoch 12, minibatch 400/400, test error of best model 6.400000 %
epoch 13, minibatch 400/400, validation error 6.500000 %
epoch 14, minibatch 400/400, validation error 6.400000 %
epoch 15, minibatch 400/400, validation error 6.500000 %
epoch 16, minibatch 400/400, validation error 6.500000 %
epoch 17, minibatch 400/400, validation error 6.400000 %
epoch 18, minibatch 400/400, validation error 6.300000 %
     epoch 18, minibatch 400/400, test error of best model 6.300000 %
epoch 19, minibatch 400/400, validation error 6.400000 %
epoch 20, minibatch 400/400, validation error 6.500000 %
epoch 21, minibatch 400/400, validation error 6.400000 %
epoch 22, minibatch 400/400, validation error 6.500000 %
epoch 23, minibatch 400/400, validation error 6.500000 %
epoch 24, minibatch 400/400, validation error 6.400000 %
epoch 25, minibatch 400/400, validation error 6.200000 %
     epoch 25, minibatch 400/400, test error of best model 6.000000 %
epoch 26, minibatch 400/400, validation error 6.200000 %
epoch 27, minibatch 400/400, validation error 6.200000 %
epoch 28, minibatch 400/400, validation error 6.000000 %
     epoch 28, minibatch 400/400, test error of best model 6.000000 %
epoch 29, minibatch 400/400, validation error 6.100000 %
epoch 30, minibatch 400/400, validation error 6.100000 %
epoch 31, minibatch 400/400, validation error 6.100000 %
epoch 32, minibatch 400/400, validation error 6.100000 %
epoch 33, minibatch 400/400, validation error 6.100000 %
epoch 34, minibatch 400/400, validation error 6.200000 %
epoch 35, minibatch 400/400, validation error 6.200000 %
epoch 36, minibatch 400/400, validation error 6.300000 %
epoch 37, minibatch 400/400, validation error 6.400000 %
epoch 38, minibatch 400/400, validation error 6.400000 %
epoch 39, minibatch 400/400, validation error 6.300000 %
epoch 40, minibatch 400/400, validation error 6.200000 %
epoch 41, minibatch 400/400, validation error 6.100000 %
epoch 42, minibatch 400/400, validation error 6.000000 %
     epoch 42, minibatch 400/400, test error of best model 5.800000 %
epoch 43, minibatch 400/400, validation error 6.000000 %
epoch 44, minibatch 400/400, validation error 5.900000 %
     epoch 44, minibatch 400/400, test error of best model 5.800000 %
epoch 45, minibatch 400/400, validation error 5.900000 %
epoch 46, minibatch 400/400, validation error 5.900000 %
     epoch 46, minibatch 400/400, test error of best model 5.800000 %
epoch 47, minibatch 400/400, validation error 5.900000 %
epoch 48, minibatch 400/400, validation error 6.000000 %
epoch 49, minibatch 400/400, validation error 6.000000 %
epoch 50, minibatch 400/400, validation error 6.000000 %
epoch 51, minibatch 400/400, validation error 6.000000 %
epoch 52, minibatch 400/400, validation error 5.900000 %
epoch 53, minibatch 400/400, validation error 5.900000 %
epoch 54, minibatch 400/400, validation error 5.900000 %
epoch 55, minibatch 400/400, validation error 5.800000 %
     epoch 55, minibatch 400/400, test error of best model 5.600000 %
epoch 56, minibatch 400/400, validation error 5.700000 %
     epoch 56, minibatch 400/400, test error of best model 5.500000 %
epoch 57, minibatch 400/400, validation error 5.700000 %
epoch 58, minibatch 400/400, validation error 5.700000 %
epoch 59, minibatch 400/400, validation error 5.700000 %
epoch 60, minibatch 400/400, validation error 5.800000 %
epoch 61, minibatch 400/400, validation error 5.800000 %
epoch 62, minibatch 400/400, validation error 5.800000 %
epoch 63, minibatch 400/400, validation error 5.800000 %
epoch 64, minibatch 400/400, validation error 5.800000 %
epoch 65, minibatch 400/400, validation error 5.800000 %
epoch 66, minibatch 400/400, validation error 5.800000 %
epoch 67, minibatch 400/400, validation error 5.800000 %
epoch 68, minibatch 400/400, validation error 5.800000 %
epoch 69, minibatch 400/400, validation error 5.800000 %
epoch 70, minibatch 400/400, validation error 5.800000 %
epoch 71, minibatch 400/400, validation error 5.800000 %
epoch 72, minibatch 400/400, validation error 5.800000 %
epoch 73, minibatch 400/400, validation error 5.800000 %
epoch 74, minibatch 400/400, validation error 5.800000 %
epoch 75, minibatch 400/400, validation error 5.800000 %
epoch 76, minibatch 400/400, validation error 5.700000 %
epoch 77, minibatch 400/400, validation error 5.800000 %
epoch 78, minibatch 400/400, validation error 5.700000 %
epoch 79, minibatch 400/400, validation error 5.700000 %
epoch 80, minibatch 400/400, validation error 5.700000 %
epoch 81, minibatch 400/400, validation error 5.700000 %
epoch 82, minibatch 400/400, validation error 5.700000 %
epoch 83, minibatch 400/400, validation error 5.800000 %
epoch 84, minibatch 400/400, validation error 5.800000 %
epoch 85, minibatch 400/400, validation error 5.800000 %
epoch 86, minibatch 400/400, validation error 5.800000 %
epoch 87, minibatch 400/400, validation error 5.800000 %
epoch 88, minibatch 400/400, validation error 5.800000 %
epoch 89, minibatch 400/400, validation error 5.700000 %
epoch 90, minibatch 400/400, validation error 5.700000 %
epoch 91, minibatch 400/400, validation error 5.700000 %
epoch 92, minibatch 400/400, validation error 5.700000 %
epoch 93, minibatch 400/400, validation error 5.700000 %
epoch 94, minibatch 400/400, validation error 5.700000 %
epoch 95, minibatch 400/400, validation error 5.700000 %
epoch 96, minibatch 400/400, validation error 5.700000 %
epoch 97, minibatch 400/400, validation error 5.700000 %
epoch 98, minibatch 400/400, validation error 5.600000 %
     epoch 98, minibatch 400/400, test error of best model 5.600000 %
epoch 99, minibatch 400/400, validation error 5.600000 %
epoch 100, minibatch 400/400, validation error 5.600000 %
epoch 101, minibatch 400/400, validation error 5.600000 %
epoch 102, minibatch 400/400, validation error 5.600000 %
epoch 103, minibatch 400/400, validation error 5.600000 %
epoch 104, minibatch 400/400, validation error 5.600000 %
epoch 105, minibatch 400/400, validation error 5.600000 %
epoch 106, minibatch 400/400, validation error 5.600000 %
epoch 107, minibatch 400/400, validation error 5.600000 %
epoch 108, minibatch 400/400, validation error 5.600000 %
epoch 109, minibatch 400/400, validation error 5.600000 %
epoch 110, minibatch 400/400, validation error 5.600000 %
epoch 111, minibatch 400/400, validation error 5.600000 %
epoch 112, minibatch 400/400, validation error 5.600000 %
epoch 113, minibatch 400/400, validation error 5.600000 %
epoch 114, minibatch 400/400, validation error 5.600000 %
epoch 115, minibatch 400/400, validation error 5.600000 %
epoch 116, minibatch 400/400, validation error 5.600000 %
epoch 117, minibatch 400/400, validation error 5.600000 %
epoch 118, minibatch 400/400, validation error 5.600000 %
epoch 119, minibatch 400/400, validation error 5.600000 %
epoch 120, minibatch 400/400, validation error 5.600000 %
epoch 121, minibatch 400/400, validation error 5.500000 %
     epoch 121, minibatch 400/400, test error of best model 5.600000 %
epoch 122, minibatch 400/400, validation error 5.500000 %
epoch 123, minibatch 400/400, validation error 5.500000 %
epoch 124, minibatch 400/400, validation error 5.500000 %
epoch 125, minibatch 400/400, validation error 5.500000 %
epoch 126, minibatch 400/400, validation error 5.500000 %
epoch 127, minibatch 400/400, validation error 5.500000 %
epoch 128, minibatch 400/400, validation error 5.500000 %
epoch 129, minibatch 400/400, validation error 5.500000 %
epoch 130, minibatch 400/400, validation error 5.500000 %
epoch 131, minibatch 400/400, validation error 5.500000 %
epoch 132, minibatch 400/400, validation error 5.500000 %
epoch 133, minibatch 400/400, validation error 5.500000 %
epoch 134, minibatch 400/400, validation error 5.500000 %
epoch 135, minibatch 400/400, validation error 5.500000 %
epoch 136, minibatch 400/400, validation error 5.500000 %
epoch 137, minibatch 400/400, validation error 5.500000 %
epoch 138, minibatch 400/400, validation error 5.500000 %
epoch 139, minibatch 400/400, validation error 5.500000 %
epoch 140, minibatch 400/400, validation error 5.600000 %
epoch 141, minibatch 400/400, validation error 5.600000 %
epoch 142, minibatch 400/400, validation error 5.600000 %
epoch 143, minibatch 400/400, validation error 5.600000 %
epoch 144, minibatch 400/400, validation error 5.600000 %
epoch 145, minibatch 400/400, validation error 5.600000 %
epoch 146, minibatch 400/400, validation error 5.600000 %
epoch 147, minibatch 400/400, validation error 5.600000 %
epoch 148, minibatch 400/400, validation error 5.600000 %
epoch 149, minibatch 400/400, validation error 5.600000 %
epoch 150, minibatch 400/400, validation error 5.600000 %
epoch 151, minibatch 400/400, validation error 5.500000 %
epoch 152, minibatch 400/400, validation error 5.500000 %
epoch 153, minibatch 400/400, validation error 5.500000 %
epoch 154, minibatch 400/400, validation error 5.500000 %
epoch 155, minibatch 400/400, validation error 5.500000 %
epoch 156, minibatch 400/400, validation error 5.500000 %
epoch 157, minibatch 400/400, validation error 5.500000 %
epoch 158, minibatch 400/400, validation error 5.500000 %
epoch 159, minibatch 400/400, validation error 5.500000 %
epoch 160, minibatch 400/400, validation error 5.500000 %
epoch 161, minibatch 400/400, validation error 5.500000 %
epoch 162, minibatch 400/400, validation error 5.500000 %
epoch 163, minibatch 400/400, validation error 5.500000 %
epoch 164, minibatch 400/400, validation error 5.500000 %
epoch 165, minibatch 400/400, validation error 5.500000 %
epoch 166, minibatch 400/400, validation error 5.500000 %
epoch 167, minibatch 400/400, validation error 5.500000 %
epoch 168, minibatch 400/400, validation error 5.500000 %
epoch 169, minibatch 400/400, validation error 5.500000 %
epoch 170, minibatch 400/400, validation error 5.500000 %
epoch 171, minibatch 400/400, validation error 5.500000 %
epoch 172, minibatch 400/400, validation error 5.500000 %
epoch 173, minibatch 400/400, validation error 5.500000 %
epoch 174, minibatch 400/400, validation error 5.500000 %
epoch 175, minibatch 400/400, validation error 5.500000 %
epoch 176, minibatch 400/400, validation error 5.500000 %
epoch 177, minibatch 400/400, validation error 5.500000 %
epoch 178, minibatch 400/400, validation error 5.500000 %
epoch 179, minibatch 400/400, validation error 5.500000 %
epoch 180, minibatch 400/400, validation error 5.500000 %
epoch 181, minibatch 400/400, validation error 5.500000 %
epoch 182, minibatch 400/400, validation error 5.500000 %
epoch 183, minibatch 400/400, validation error 5.500000 %
epoch 184, minibatch 400/400, validation error 5.500000 %
epoch 185, minibatch 400/400, validation error 5.500000 %
epoch 186, minibatch 400/400, validation error 5.500000 %
epoch 187, minibatch 400/400, validation error 5.500000 %
epoch 188, minibatch 400/400, validation error 5.500000 %
epoch 189, minibatch 400/400, validation error 5.500000 %
epoch 190, minibatch 400/400, validation error 5.500000 %
epoch 191, minibatch 400/400, validation error 5.500000 %
epoch 192, minibatch 400/400, validation error 5.500000 %
epoch 193, minibatch 400/400, validation error 5.500000 %
epoch 194, minibatch 400/400, validation error 5.500000 %
epoch 195, minibatch 400/400, validation error 5.500000 %
epoch 196, minibatch 400/400, validation error 5.500000 %
epoch 197, minibatch 400/400, validation error 5.500000 %
epoch 198, minibatch 400/400, validation error 5.500000 %
epoch 199, minibatch 400/400, validation error 5.500000 %
epoch 200, minibatch 400/400, validation error 5.500000 %
epoch 201, minibatch 400/400, validation error 5.500000 %
epoch 202, minibatch 400/400, validation error 5.500000 %
epoch 203, minibatch 400/400, validation error 5.500000 %
epoch 204, minibatch 400/400, validation error 5.500000 %
epoch 205, minibatch 400/400, validation error 5.500000 %
epoch 206, minibatch 400/400, validation error 5.500000 %
epoch 207, minibatch 400/400, validation error 5.500000 %
epoch 208, minibatch 400/400, validation error 5.500000 %
epoch 209, minibatch 400/400, validation error 5.500000 %
epoch 210, minibatch 400/400, validation error 5.500000 %
epoch 211, minibatch 400/400, validation error 5.500000 %
epoch 212, minibatch 400/400, validation error 5.500000 %
epoch 213, minibatch 400/400, validation error 5.500000 %
epoch 214, minibatch 400/400, validation error 5.500000 %
epoch 215, minibatch 400/400, validation error 5.500000 %
epoch 216, minibatch 400/400, validation error 5.500000 %
epoch 217, minibatch 400/400, validation error 5.500000 %
epoch 218, minibatch 400/400, validation error 5.500000 %
epoch 219, minibatch 400/400, validation error 5.500000 %
epoch 220, minibatch 400/400, validation error 5.500000 %
epoch 221, minibatch 400/400, validation error 5.500000 %
epoch 222, minibatch 400/400, validation error 5.500000 %
epoch 223, minibatch 400/400, validation error 5.500000 %
epoch 224, minibatch 400/400, validation error 5.500000 %
epoch 225, minibatch 400/400, validation error 5.500000 %
epoch 226, minibatch 400/400, validation error 5.500000 %
epoch 227, minibatch 400/400, validation error 5.500000 %
epoch 228, minibatch 400/400, validation error 5.500000 %
epoch 229, minibatch 400/400, validation error 5.600000 %
epoch 230, minibatch 400/400, validation error 5.600000 %
epoch 231, minibatch 400/400, validation error 5.600000 %
epoch 232, minibatch 400/400, validation error 5.600000 %
epoch 233, minibatch 400/400, validation error 5.600000 %
epoch 234, minibatch 400/400, validation error 5.600000 %
epoch 235, minibatch 400/400, validation error 5.600000 %
epoch 236, minibatch 400/400, validation error 5.600000 %
epoch 237, minibatch 400/400, validation error 5.600000 %
epoch 238, minibatch 400/400, validation error 5.600000 %
epoch 239, minibatch 400/400, validation error 5.600000 %
epoch 240, minibatch 400/400, validation error 5.600000 %
epoch 241, minibatch 400/400, validation error 5.600000 %
Optimization complete with best validation score of 5.500000 %, obtained at iteration 48400, with test performance 5.600000 %
The fine tuning code for file dbn_loop.pyc ran for 2.90m
